CVE_ID,Commit Message,Links in Message,Link Presence,PATCH,repository,type_of_reporting,first_link_in_message,first_link_type_for_created_date,first_link,mined_link_type,link_created_at,link_created_date_source,link_created_date_status,link_created_date_reason,created_date_kind
CVE-2019-12399,"KAFKA-8774: Regex can be found anywhere in config value (#7197)

Corrected the AbstractHerder to correctly identify task configs that contain variables for externalized secrets. The original method incorrectly used `matcher.matches()` instead of `matcher.find()`. The former method expects the entire string to match the regex, whereas the second one can find a pattern anywhere within the input string (which fits this use case more correctly).

Added unit tests to cover various cases of a config with externalized secrets, and updated system tests to cover case where config value contains additional characters besides secret that requires regex pattern to be found anywhere in the string (as opposed to complete match).

Author: Arjun Satish <arjun@confluent.io>
Reviewer: Randall Hauch <rhauch@gmail.com>",https://github.com/apache/kafka/pull/7197,contains links,https://github.com/apache/kafka/commit/b85707c0fdb4c11448cdb5a1938e0488ddc91102,apache/kafka,github pull request,https://github.com/apache/kafka/pull/7197,github pull request,https://github.com/apache/kafka/pull/7197,github pull request,2019-08-12T01:50:34Z,https://api.github.com/repos/apache/kafka/issues/7197,ok,,created_at
CVE-2018-1000822,fix #1851 add FEATURE_SECURE_PROCESSING,https://github.com/codelibs/fess/issues/1851,contains links,https://github.com/codelibs/fess/commit/4e0d9f5faaf4ec75dbe89f5ff97ece0f03b097a8;https://github.com/codelibs/fess/commit/faa265b,codelibs/fess,github issue,https://github.com/codelibs/fess/issues/1851,github issue,https://github.com/codelibs/fess/issues/1851,github issue,2018-09-29T09:59:12Z,https://api.github.com/repos/codelibs/fess/issues/1851,ok,,created_at
CVE-2017-15695,"GEODE-3974: improve permission for Internal functions (#1395)

   New marker interface InternalFunction to define all
   internal functions. InternalFunctions need * permission.",https://github.com/apache/geode/pull/1395,contains links,https://github.com/apache/geode/commit/aa469239860778eb46e09dd7b390aee08f152480;https://github.com/apache/geode/commit/00be4f9774e1adf8e7ccc2664da8005fc30bb11d;https://github.com/apache/geode/commit/954ccb545d24a9c9a35cbd84023a4d7e07032de0;https://github.com/apache/geode/commit/6df14c8b1e3c644f9f810149e80bba0c2f073dab,apache/geode,github pull request,https://github.com/apache/geode/pull/1395,github pull request,https://github.com/apache/geode/pull/1395,github pull request,2018-02-07T14:36:04Z,https://api.github.com/repos/apache/geode/issues/1395,ok,,created_at
CVE-2018-1000854,"Merge pull request #199 from esigate/nricheton-patch-2

Cleanup XSLT tests and ensure secure rendering",https://github.com/esigate/esigate/pull/199,contains links,https://github.com/esigate/esigate/commit/30cad23a8f282600c9b045e1af09f6f8a65357b1;https://github.com/esigate/esigate/commit/8461193d2f358bcf1c3fabf82891a66786bfb540;https://github.com/esigate/esigate/commit/b866acb1ebc661dbe475330e27e0d69693de1971,esigate/esigate,github pull request,https://github.com/esigate/esigate/pull/199,github pull request,https://github.com/esigate/esigate/pull/199,github pull request,2018-10-17T10:42:46Z,https://api.github.com/repos/esigate/esigate/issues/199,ok,,created_at
CVE-2014-3490,"Merge pull request #521 from ronsigal/master

master branch",https://github.com/resteasy/resteasy/pull/521,contains links,https://github.com/resteasy/Resteasy/commit/240da98bc6437a44b3b267cb6d0d8bac3691b2f7;https://github.com/ronsigal/Resteasy/commit/9b7d0f574cafdcf3bea5428f3145ab4908fc6d83,resteasy/Resteasy,github pull request,https://github.com/resteasy/resteasy/pull/521,github pull request,https://github.com/resteasy/resteasy/pull/521,github pull request,2014-07-15T03:41:55Z,https://api.github.com/repos/resteasy/resteasy/issues/521,ok,,created_at
CVE-2017-12629,"SOLR-11477: Disallow resolving of external entities in Lucene queryparser/xml/CoreParser and SolrCoreParser (defType=xmlparser or {!xmlparser ...}) by default.

(Michael Stepankin, Olga Barinova, Uwe Schindler, Christine Poerschke)

This closes #263.",https://github.com/apache/lucene-solr/pull/263,contains links,https://github.com/apache/lucene-solr/commit/d8000beebfb13ba0b6e754f84c760e11592d8d1,apache/lucene-solr,github pull request,https://github.com/apache/lucene-solr/pull/263,github pull request,https://github.com/apache/lucene-solr/pull/263,github pull request,2017-10-17T09:38:53Z,https://api.github.com/repos/apache/lucene-solr/issues/263,ok,,created_at
CVE-2020-9486,"NIFI-7377 Cleaned up nifi-stateless logs.
Refactored masking logic to CipherUtility and indicated masking with label and Base64 output.
Added JSON masking logic to nifi-stateless module.
Added argument masking functionality to Program.
Moved groovy unit tests to proper Maven directory structure.
Modified plain argument output to use filtering/masking methods in provided utility.
Refactored utility methods.
Updated unit tests.

This closes #4222.

Co-authored-by: Pierre Villard <pierre.villard.fr@gmail.com>

Signed-off-by: Andy LoPresto <alopresto@apache.org>",https://github.com/apache/nifi/pull/4222,contains links,https://github.com/apache/nifi/commit/148537d64a017b73160b0d49943183c18f883ab0,apache/nifi,github pull request,https://github.com/apache/nifi/pull/4222,github pull request,https://github.com/apache/nifi/pull/4222,github pull request,2020-04-21T19:35:40Z,https://api.github.com/repos/apache/nifi/issues/4222,ok,,created_at
CVE-2017-9735,Fixes #1556 - A timing channel in Password.java.,https://github.com/jetty/jetty.project/issues/1556,contains links,https://github.com/eclipse/jetty.project/commit/042f325f1cd6e7891d72c7e668f5947b5457dc02;https://github.com/eclipse/jetty.project/commit/f3751d70787fd8ab93932a51c60514c2eb37cb58;https://github.com/eclipse/jetty.project/commit/2baa1abe4b1c380a30deacca1ed367466a1a62ea,eclipse/jetty.project,github issue,https://github.com/jetty/jetty.project/issues/1556,github issue,https://github.com/jetty/jetty.project/issues/1556,github issue,2017-05-16T07:33:48Z,https://api.github.com/repos/jetty/jetty.project/issues/1556,ok,,created_at
CVE-2020-13941,"SOLR-14561 Followup - validate params for more core operations  (#1629)

Add template to solr.in scripts
Also testes Windows paths
Added RefGuide documentation to some params",https://github.com/apache/lucene-solr/pull/1629,contains links,https://github.com/apache/lucene-solr/commit/49a3f0a11d41f7124b893a08dc9e67594c32e2ee,apache/lucene-solr,github pull request,https://github.com/apache/lucene-solr/pull/1629,github pull request,https://github.com/apache/lucene-solr/pull/1629,github pull request,2020-06-29T11:04:48Z,https://api.github.com/repos/apache/lucene-solr/issues/1629,ok,,created_at
CVE-2020-13940,"NIFI-7680 Added convenience methods for creating XML DocumentBuilder instances.
Added unit tests.

NIFI-7680 Duplicated DocumentBuilder creation method in NotificationServiceManager to avoid nifi-bootstrap dependency on nifi-security-utils.
Explicitly added commons-lang3 to lib/bootstrap/ directory in nifi-assembly.

NIFI-7680 Reverted unnecessary dependency changes.
Added explicit dependencies where necessary.

Signed-off-by: Matthew Burgess <mattyb149@apache.org>

This closes #4436",https://github.com/apache/nifi/pull/4436,contains links,https://github.com/apache/nifi/commit/7f0416ee8bdcee95e28409cc6fae9c1394c2a798,apache/nifi,github pull request,https://github.com/apache/nifi/pull/4436,github pull request,https://github.com/apache/nifi/pull/4436,github pull request,2020-07-28T01:46:38Z,https://api.github.com/repos/apache/nifi/issues/4436,ok,,created_at
CVE-2019-12086,Backport #2326 fix in 2.8 (for theoretical 2.8.11.4),https://github.com/FasterXML/jackson-databind/issues/2326,contains links,https://github.com/FasterXML/jackson-databind/commit/efc3c0d02f4743dbaa6d1b9c466772a2f13d966b,FasterXML/jackson-databind,github issue,https://github.com/FasterXML/jackson-databind/issues/2326,github issue,https://github.com/FasterXML/jackson-databind/issues/2326,github issue,2019-05-11T17:31:34Z,https://api.github.com/repos/FasterXML/jackson-databind/issues/2326,ok,,created_at
CVE-2017-7525,Fix #1737,https://github.com/FasterXML/jackson-databind/issues/1737,contains links,https://github.com/FasterXML/jackson-databind/commit/ddfddfba6414adbecaff99684ef66eebd3a92e92;https://github.com/FasterXML/jackson-databind/commit/fd8dec2c7fab8b4b4bd60502a0f1d63ec23c24da,FasterXML/jackson-databind,github issue,https://github.com/FasterXML/jackson-databind/issues/1737,github issue,https://github.com/FasterXML/jackson-databind/issues/1737,github issue,2017-08-17T21:24:26Z,https://api.github.com/repos/FasterXML/jackson-databind/issues/1737,ok,,created_at
CVE-2020-1954,"Prevent RMI registry rebind (#641)

* Prevent registry rebind

* Add the RMI server when not running threaded

* Update MBServerConnectorFactory.java

* Add compiler option for Java 11. Will look to see if there's a way to avoid the use of sun.rmi.registry altogether

* Identify the lookup name from the JMX URL

* Adding unit test for getBindingName()

* Re-instating test removed by mistake

Co-authored-by: Colm O hEigeartaigh <coheigea@users.noreply.github.com>
(cherry picked from commit 543de65106515538ecaef8b57c554e88a7bda0d1)
(cherry picked from commit 98ec361acd390483005de12ca3b10cf49cbdcf8a)

# Conflicts:
#	rt/management/pom.xml",https://github.com/apache/cxf/pull/641,contains links,https://github.com/apache/cxf/commit/8636c3760a97979f42e45080230a27b81df5d436,apache/cxf,github pull request,https://github.com/apache/cxf/pull/641,github pull request,https://github.com/apache/cxf/pull/641,github pull request,2020-02-17T12:14:17Z,https://api.github.com/repos/apache/cxf/issues/641,ok,,created_at
CVE-2016-9177,"Merge pull request #701 from perwendel/fix-for-directory-traversal-issue-700

Fix for #700 - Arbitrary File Read Vulnerability",https://github.com/perwendel/spark/pull/701; https://github.com/perwendel/spark/issues/700,contains links,https://github.com/perwendel/spark/commit/efcb46c710e3f56805b9257a63d1306882f4faf9,perwendel/spark,github pull request,https://github.com/perwendel/spark/pull/701,github pull request,https://github.com/perwendel/spark/pull/701,github pull request,2016-11-05T12:58:20Z,https://api.github.com/repos/perwendel/spark/issues/701,ok,,created_at
CVE-2019-14838,"Merge pull request #3981 from gaol/CVE-2019-14838-master-core

[WFCORE-4683] User with Monitor role can stop the servers in domain mode",https://github.com/wildfly/wildfly-core/pull/3981,contains links,https://github.com/wildfly/wildfly-core/commit/131fa6880ae1523fac9e96df54dc394b63b0eed3;https://github.com/wildfly/wildfly-core/commit/80e18b46f73f9d061d4150c66e6dc2fc1fd0bc41,wildfly/wildfly-core,github pull request,https://github.com/wildfly/wildfly-core/pull/3981,github pull request,https://github.com/wildfly/wildfly-core/pull/3981,github pull request,2019-10-11T08:28:16Z,https://api.github.com/repos/wildfly/wildfly-core/issues/3981,ok,,created_at
CVE-2021-3642,"Merge pull request #1551 from fjuma/ELY-2147-1.10.x

[ELY-2147] Harden ScramServer against timing attacks",https://github.com/wildfly-security/wildfly-elytron/pull/1551,contains links,https://github.com/wildfly-security/wildfly-elytron/commit/f512afc33807c8e7cf74ccb1a14532090906e793,wildfly-security/wildfly-elytron,github pull request,https://github.com/wildfly-security/wildfly-elytron/pull/1551,github pull request,https://github.com/wildfly-security/wildfly-elytron/pull/1551,github pull request,2021-07-13T16:21:58Z,https://api.github.com/repos/wildfly-security/wildfly-elytron/issues/1551,ok,,created_at
CVE-2019-9658,Issue #6474: disable external dtd load by default,https://github.com/checkstyle/checkstyle/issues/6474,contains links,https://github.com/checkstyle/checkstyle/commit/180b4fe37a2249d4489d584505f2b7b3ab162ec6;https://github.com/checkstyle/checkstyle/commit/f796c5053b6f275db9a3907fa24207d233974e29,checkstyle/checkstyle,github issue,https://github.com/checkstyle/checkstyle/issues/6474,github issue,https://github.com/checkstyle/checkstyle/issues/6474,github issue,2019-02-24T15:42:58Z,https://api.github.com/repos/checkstyle/checkstyle/issues/6474,ok,,created_at
CVE-2021-43795,"Merge pull request from GHSA-8fp4-rp6c-5gcv

Motivation:

- We changed how `PathAndQuery` handles `%2F` (/) in 1.12.0 via #3855.
  This change introduces an unexpected hole in its double-dot detection
  logic.
- Since we decided not to decode `%2F`, we should not decode it
  whereever possible.

Modifications:

- Hardened the double-dot detection logic in `PathAndQuery`.
- `Bytes.data` now always store the bytes in their decoded form. We keep
  whether the byte has to be encoded in a separate `BitSet`.
- Split `ArmeriaHttpUtil.decodePath()` into `decodePath()` and
  `decodePathParam()`.
  - We don't decode `%2F` in `decodePath()` but we do in
    `decodePathParam()`.
  - `RoutingResultBuilder.rawParam()` now uses `decodePathParam()`
    because `decodePath()` doesn't decode `%2F` anymore.

Result:

- A path that contains double dots with `%2F`, such as
  `/files/..%2Fsecrets.txt`, are now rejected correctly.",https://github.com/line/armeria/pull/3855,contains links,https://github.com/line/armeria/commit/e2697a575e9df6692b423e02d731f293c1313284,line/armeria,github pull request,https://github.com/line/armeria/pull/3855,github pull request,https://github.com/line/armeria/pull/3855,github pull request,2021-10-05T02:08:05Z,https://api.github.com/repos/line/armeria/issues/3855,ok,,created_at
CVE-2021-21347,New predefined blacklist avoids vulnerability due to improper setup of the security framework. Closes #207.,https://github.com/x-stream/xstream/issues/207,contains links,https://github.com/x-stream/xstream/commit/51abe602e09016c8e43e91325a15226022f4da46,x-stream/xstream,github issue,https://github.com/x-stream/xstream/issues/207,github issue,https://github.com/x-stream/xstream/issues/207,github issue,2020-07-09T15:48:01Z,https://api.github.com/repos/x-stream/xstream/issues/207,ok,,created_at
CVE-2019-7722,"Harden XML parsing

 - Fixes #532",https://github.com/pmd/pmd/issues/532,contains links,https://github.com/pmd/pmd/commit/e295711343cc155cb64ea0ae29ce9d69201469b3,pmd/pmd,github issue,https://github.com/pmd/pmd/issues/532,github issue,https://github.com/pmd/pmd/issues/532,github issue,2017-07-31T19:48:29Z,https://api.github.com/repos/pmd/pmd/issues/532,ok,,created_at
CVE-2018-1317,"[ZEPPELIN-3350] Don't allow set cronExecutionUser

### What is this PR for?
This PR just does a quick fix this security issue.
1. Remove the setting cron user in frontend
2. Run the note via owner.

### What type of PR is it?
[Bug Fix ]

### Todos
* [ ] - Task

### What is the Jira issue?
* https://issues.apache.org/jira/browse/ZEPPELIN-3350

### How should this be tested?
* Manually tested

### Screenshots (if appropriate)
![screen shot 2018-04-09 at 3 04 06 pm](https://user-images.githubusercontent.com/164491/38483974-707dca56-3c07-11e8-918a-cd47ed94ee99.png)

### Questions:
* Does the licenses files need update? No
* Is there breaking changes for older versions? No
* Does this needs documentation? No

Author: Jeff Zhang <zjffdu@apache.org>

Closes #2914 from zjffdu/ZEPPELIN-3350 and squashes the following commits:

63325d0 [Jeff Zhang] [ZEPPELIN-3350] Don't allow set cronExecutionUser

(cherry picked from commit 08c9ad9a6692405884ae2b2f730868030247762f)
Signed-off-by: Jeff Zhang <zjffdu@apache.org>",https://github.com/apache/zeppelin/pull/2914; https://issues.apache.org/jira/browse/ZEPPELIN-3350; https://user-images.githubusercontent.com/164491/38483974-707dca56-3c07-11e8-918a-cd47ed94ee99.png),contains links,https://github.com/apache/zeppelin/commit/85282615681e895d477417e9f9b80efdb221bf2c,apache/zeppelin,github pull request,https://github.com/apache/zeppelin/pull/2914,github pull request,https://github.com/apache/zeppelin/pull/2914,github pull request,2018-04-09T07:05:51Z,https://api.github.com/repos/apache/zeppelin/issues/2914,ok,,created_at
CVE-2021-44228,"Restrict LDAP access via JNDI (#608)

* Restrict LDAP access via JNDI

* Disable most JNDI protocols

* Rename test. Various minor fixes

* LOG4J2-3201 - Limit the protocols JNDI can use by default. Limit the servers and classes that can be accessed via LDAP.",https://github.com/apache/logging-log4j2/pull/608,contains links,https://github.com/apache/logging-log4j2/commit/c77b3cb39312b83b053d23a2158b99ac7de44dd3,apache/logging-log4j2,github pull request,https://github.com/apache/logging-log4j2/pull/608,github pull request,https://github.com/apache/logging-log4j2/pull/608,github pull request,2021-11-30T05:31:06Z,https://api.github.com/repos/apache/logging-log4j2/issues/608,ok,,created_at
CVE-2019-10095,"InterpreterSetting: don't crash when sorting settings.

The existing comparator would return -1 for both (a, b) and (b, a),
if both of these settings keys are not present in the template,
and such behaviour violates required comparator properties.

The issue manifests with exception in the form

  java.lang.IllegalArgumentException: Comparison method violates its general contract!
  at java.util.TimSort.mergeLo(TimSort.java:777)

and prevents server from starting up.

### What type of PR is it?
Bug Fix

### Questions:
* Does the licenses files need update? I don't think, the change is trivial.
* Is there breaking changes for older versions? No.
* Does this needs documentation? No.

Author: Vladimir Prus <vladimir.prus@gmail.com>

Closes #4075 from vprus/interpreter-settings-sorting-v2 and squashes the following commits:

7cd0b6485 [Vladimir Prus] Cosmetics
47e129a31 [Vladimir Prus] Remove spurious change
0cbc70fbd [Vladimir Prus] Cosmetrics.
e032d9990 [Vladimir Prus] InterpreterSetting: don't crash when sorting settings.",https://github.com/apache/zeppelin/pull/4075,contains links,https://github.com/apache/zeppelin/commit/8a7e0b87144fba81a22055684441906ad1c327af,apache/zeppelin,github pull request,https://github.com/apache/zeppelin/pull/4075,github pull request,https://github.com/apache/zeppelin/pull/4075,github pull request,2021-03-10T15:28:03Z,https://api.github.com/repos/apache/zeppelin/issues/4075,ok,,created_at
CVE-2021-26118,"Merge pull request #3315 from gtully/ARTEMIS-2964

ARTEMIS-2964 - fire advisory messages via post office, independent of…",https://github.com/apache/activemq-artemis/pull/3315,contains links,https://github.com/apache/activemq-artemis/commit/7dd50bd58ed2b46aa7ecdba7cffe979b672d58fb,apache/activemq-artemis,github pull request,https://github.com/apache/activemq-artemis/pull/3315,github pull request,https://github.com/apache/activemq-artemis/pull/3315,github pull request,2020-10-27T19:29:54Z,https://api.github.com/repos/apache/activemq-artemis/issues/3315,ok,,created_at
CVE-2020-1957,"Merge pull request #203 from apache/SHIRO-747

[SHIRO-747] FirstSuccessfulStrategy now detects empty principal correctly",https://github.com/apache/shiro/pull/203,contains links,https://github.com/apache/shiro/commit/f8722302e614c30cff7228fca549a882f98e6e6b,apache/shiro,github pull request,https://github.com/apache/shiro/pull/203,github pull request,https://github.com/apache/shiro/pull/203,github pull request,2020-03-11T19:18:43Z,https://api.github.com/repos/apache/shiro/issues/203,ok,,created_at
CVE-2017-12158,"KEYCLOAK-5225 (#4578)

KEYCLOAK-5225 fix test

Fix",https://github.com/keycloak/keycloak/pull/4578,contains links,https://github.com/keycloak/keycloak/commit/6ea9ed9be8baa7c6971cfbdabecc91555dc561d7;https://github.com/keycloak/keycloak/commit/d9ffc4fa211bbf2aae49449cb58e02b6ea8cd299,keycloak/keycloak,github pull request,https://github.com/keycloak/keycloak/pull/4578,github pull request,https://github.com/keycloak/keycloak/pull/4578,github pull request,2017-10-19T05:20:58Z,https://api.github.com/repos/keycloak/keycloak/issues/4578,ok,,created_at
CVE-2016-3720,Fix #190,https://github.com/FasterXML/jackson-dataformat-xml/issues/190,contains links,https://github.com/FasterXML/jackson-dataformat-xml/commit/f0f19a4c924d9db9a1e2830434061c8640092cc0,FasterXML/jackson-dataformat-xml,github issue,https://github.com/FasterXML/jackson-dataformat-xml/issues/190,github issue,https://github.com/FasterXML/jackson-dataformat-xml/issues/190,github issue,2016-04-14T23:52:40Z,https://api.github.com/repos/FasterXML/jackson-dataformat-xml/issues/190,ok,,created_at
CVE-2021-30179,"fix #6728, potential NPE in generic filter  (#6785)",https://github.com/apache/dubbo/issues/6728; https://github.com/apache/dubbo/pull/6785,contains links,https://github.com/apache/dubbo/commit/eed216b14e8c8e980e98a78ce495806a32df2b97,apache/dubbo,github issue,https://github.com/apache/dubbo/issues/6728,github issue,https://github.com/apache/dubbo/issues/6728,github issue,2020-09-12T09:28:45Z,https://api.github.com/repos/apache/dubbo/issues/6728,ok,,created_at
CVE-2021-23463,fix for #3195 CQLXML XXE vulnerability,https://github.com/h2database/h2database/issues/3195,contains links,https://github.com/h2database/h2database/commit/d83285fd2e48fb075780ee95badee6f5a15ea7f8,h2database/h2database,github issue,https://github.com/h2database/h2database/issues/3195,github issue,https://github.com/h2database/h2database/issues/3195,github issue,2021-10-22T07:07:50Z,https://api.github.com/repos/h2database/h2database/issues/3195,ok,,created_at
CVE-2018-8012,"NIFI-6578 - Upgraded zookeeper framework version. Some code changes required. This change also required a change to the embedded zookeeper.
- Updating tests to account for the new node /zookeeper/config
Upgraded Zookeeper and Curator versions for zookeeper migrator in toolkit. Updated tests to allow for new znode /zookeeper/config
- Added documentation changes to reflect changes to the zookeeper.properties file going foward.

This closes #3715.

Signed-off-by: Mark Payne <markap14@hotmail.com>",https://github.com/apache/nifi/pull/3715,contains links,https://github.com/apache/nifi/commit/282c271;https://github.com/apache/zookeeper/commit/8a06bd1ccef382461c7b0a63f2012f4aeac90753,apache/nifi,github pull request,https://github.com/apache/nifi/pull/3715,github pull request,https://github.com/apache/nifi/pull/3715,github pull request,2019-09-09T21:44:16Z,https://api.github.com/repos/apache/nifi/issues/3715,ok,,created_at
CVE-2021-38153,"MINOR: Use time constant algorithms when comparing passwords or keys (#10978)

Author: Randall Hauch <rhauch@gmail.com>
Reviewers: Manikumar Reddy <manikumar@confluent.io>, Rajini Sivaram <rajinisivaram@gmail.com>, Mickael Maison <mickael.maison@gmail.com>, Ismael Juma <ijuma@apache.org>",https://github.com/apache/kafka/pull/10978,contains links,https://github.com/apache/kafka/commit/3325342fecba56c2f5b28d60ca37605a7ebf420a,apache/kafka,github pull request,https://github.com/apache/kafka/pull/10978,github pull request,https://github.com/apache/kafka/pull/10978,github pull request,2021-07-06T15:49:15Z,https://api.github.com/repos/apache/kafka/issues/10978,ok,,created_at
CVE-2016-3093,"Merge pull request #12 from danielfernandez/cachekey

Improved performance of getter/setter method caching in OgnlRuntime",https://github.com/orphan-oss/ognl/pull/12,contains links,https://github.com/jkuhnert/ognl/commit/ae43073fbf38db8371ff4f8bf2a966ee3b5f7e92,jkuhnert/ognl,github pull request,https://github.com/orphan-oss/ognl/pull/12,github pull request,https://github.com/orphan-oss/ognl/pull/12,github pull request,2015-05-16T23:18:26Z,https://api.github.com/repos/orphan-oss/ognl/issues/12,ok,,created_at
CVE-2019-0233,"Minor follow-up changes to PR #371
- added some additional exclusions in struts-default.xml.
- added log warning that specifies the value of maxLength involved if
  applyExpressionMaxLength(maxLength) fails.
- added null guards to two handleOgnlException() methods that could
  result in an NPE with #371 changes (a null OgnlException parameter
  was permissible previously, correct or not).",https://github.com/apache/struts/pull/371,contains links,https://github.com/apache/struts/commit/e2b644a4fbe31f0898008c2938069ef04f0f9124,apache/struts,github pull request,https://github.com/apache/struts/pull/371,github pull request,https://github.com/apache/struts/pull/371,github pull request,2019-10-01T11:42:15Z,https://api.github.com/repos/apache/struts/issues/371,ok,,created_at
